更新时间: 2026-04-18 15:56:13（北京时间）

更新时间,#genre#
2026-04-18 15:56:13,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://171.213.155.205:9100/rtp/239.94.0.1:5140$四川电信
CCTV1,http://171.213.155.205:9100/rtp/239.94.2.34:5140$四川电信
CCTV1,http://171.213.155.205:9100/rtp/239.94.0.31:5140$四川电信
CCTV1,http://171.213.155.205:9100/rtp/239.94.2.69:5140$四川电信
CCTV1,http://180.173.121.65:9999/rtp/233.18.204.52:5140$上海市电信
CCTV2,http://171.213.155.205:9100/rtp/239.94.2.70:5140$四川电信
CCTV2,http://171.213.155.205:9100/rtp/239.94.0.2:5140$四川电信
CCTV2,http://171.213.155.205:9100/rtp/239.94.2.35:5140$四川电信
CCTV2,http://180.173.121.65:9999/rtp/233.18.204.68:5140$上海市电信
CCTV3,http://171.213.155.205:9100/rtp/239.94.0.32:5140$四川电信
CCTV3,http://171.213.155.205:9100/rtp/239.94.0.3:5140$四川电信
CCTV3,http://180.173.121.65:9999/rtp/233.18.204.69:5140$上海市电信
CCTV4,http://171.213.155.205:9100/rtp/239.94.0.4:5140$四川电信
CCTV4,http://180.173.121.65:9999/rtp/233.18.204.70:5140$上海市电信
CCTV5,http://171.213.155.205:9100/rtp/239.94.0.33:5140$四川电信
CCTV5,http://171.213.155.205:9100/rtp/239.94.2.30:5140$四川电信
CCTV5,http://171.213.155.205:9100/rtp/239.94.0.5:5140$四川电信
CCTV5,http://180.173.121.65:9999/rtp/233.18.204.71:5140$上海市电信
CCTV5+,http://171.213.155.205:9100/rtp/239.94.0.19:5140$四川电信
CCTV5+,http://171.213.155.205:9100/rtp/239.94.0.23:5140$四川电信
CCTV5+,http://180.173.121.65:9999/rtp/233.18.204.67:5140$上海市电信
CCTV6,http://171.213.155.205:9100/rtp/239.94.0.6:5140$四川电信
CCTV6,http://171.213.155.205:9100/rtp/239.94.2.33:5140$四川电信
CCTV6,http://171.213.155.205:9100/rtp/239.94.0.34:5140$四川电信
CCTV6,http://180.173.121.65:9999/rtp/233.18.204.72:5140$上海市电信
CCTV7,http://171.213.155.205:9100/rtp/239.94.0.7:5140$四川电信
CCTV7,http://180.173.121.65:9999/rtp/233.18.204.73:5140$上海市电信
CCTV8,http://171.213.155.205:9100/rtp/239.94.0.8:5140$四川电信
CCTV8,http://171.213.155.205:9100/rtp/239.94.0.35:5140$四川电信
CCTV8,http://171.213.155.205:9100/rtp/239.94.2.29:5140$四川电信
CCTV8,http://180.173.121.65:9999/rtp/233.18.204.74:5140$上海市电信
CCTV9,http://171.213.155.205:9100/rtp/239.94.2.32:5140$四川电信
CCTV9,http://171.213.155.205:9100/rtp/239.94.0.9:5140$四川电信
CCTV9,http://180.173.121.65:9999/rtp/233.18.204.75:5140$上海市电信
CCTV10,http://171.213.155.205:9100/rtp/239.94.0.10:5140$四川电信
CCTV10,http://171.213.155.205:9100/rtp/239.94.2.31:5140$四川电信
CCTV10,http://180.173.121.65:9999/rtp/233.18.204.76:5140$上海市电信
CCTV11,http://171.213.155.205:9100/rtp/239.94.0.11:5140$四川电信
CCTV11,http://171.213.155.205:9100/rtp/239.94.0.36:5140$四川电信
CCTV11,http://180.173.121.65:9999/rtp/233.18.204.77:5140$上海市电信
CCTV12,http://171.213.155.205:9100/rtp/239.94.0.12:5140$四川电信
CCTV12,http://180.173.121.65:9999/rtp/233.18.204.78:5140$上海市电信
CCTV13,http://171.213.155.205:9100/rtp/239.94.0.13:5140$四川电信
CCTV13,http://171.213.155.205:9100/rtp/239.94.0.37:5140$四川电信
CCTV13,http://180.173.121.65:9999/rtp/233.18.204.79:5140$上海市电信
CCTV14,http://171.213.155.205:9100/rtp/239.94.0.14:5140$四川电信
CCTV14,http://180.173.121.65:9999/rtp/233.18.204.80:5140$上海市电信
CCTV15,http://171.213.155.205:9100/rtp/239.94.0.15:5140$四川电信
CCTV15,http://171.213.155.205:9100/rtp/239.94.0.38:5140$四川电信
CCTV15,http://180.173.121.65:9999/rtp/233.18.204.81:5140$上海市电信
CCTV16,http://180.173.121.65:9999/rtp/233.18.204.82:5140$上海市电信
CCTV16,http://180.173.121.65:9999/rtp/233.18.204.114:5140$上海市电信
CCTV16,http://180.173.121.65:9999/rtp/233.18.204.215:5140$上海市电信
CCTV17,http://171.213.155.205:9100/rtp/239.94.0.39:5140$四川电信
CCTV17,http://171.213.155.205:9100/rtp/239.94.0.17:5140$四川电信
CCTV17,http://180.173.121.65:9999/rtp/233.18.204.83:5140$上海市电信
CCTV4K,http://171.213.155.205:9100/rtp/239.94.0.20:5140$四川电信
CCTV4K,http://180.173.121.65:9999/rtp/233.18.204.188:5140$上海市电信
CCTV4K,http://180.173.121.65:9999/rtp/233.18.204.204:5140$上海市电信
兵器科技,http://180.173.121.65:9999/rtp/233.18.204.178:5140$上海市电信
风云音乐,http://180.173.121.65:9999/rtp/233.18.204.185:5140$上海市电信
风云足球,http://180.173.121.65:9999/rtp/233.18.204.176:5140$上海市电信
风云剧场,http://180.173.121.65:9999/rtp/233.18.204.183:5140$上海市电信
怀旧剧场,http://180.173.121.65:9999/rtp/233.18.204.182:5140$上海市电信
第一剧场,http://180.173.121.65:9999/rtp/233.18.204.184:5140$上海市电信
女性时尚,http://180.173.121.65:9999/rtp/233.18.204.180:5140$上海市电信
世界地理,http://180.173.121.65:9999/rtp/233.18.204.179:5140$上海市电信
央视台球,http://180.173.121.65:9999/rtp/233.18.204.177:5140$上海市电信
高尔夫网球,http://180.173.121.65:9999/rtp/233.18.204.181:5140$上海市电信
央视文化精品,http://180.173.121.65:9999/rtp/233.18.204.186:5140$上海市电信

卫视频道,#genre#
湖南卫视,http://171.213.155.205:9100/rtp/239.94.0.116:5140$四川电信
湖南卫视,http://171.213.155.205:9100/rtp/239.94.0.61:5140$四川电信
湖南卫视,http://180.173.121.65:9999/rtp/233.18.204.227:5140$上海市电信
湖南卫视,http://180.173.121.65:9999/rtp/233.18.204.86:5140$上海市电信
浙江卫视,http://171.213.155.205:9100/rtp/239.94.0.118:5140$四川电信
浙江卫视,http://171.213.155.205:9100/rtp/239.94.0.63:5140$四川电信
浙江卫视,http://180.173.121.65:9999/rtp/233.18.204.229:5140$上海市电信
浙江卫视,http://180.173.121.65:9999/rtp/233.18.204.84:5140$上海市电信
江苏卫视,http://171.213.155.205:9100/rtp/239.94.0.62:5140$四川电信
江苏卫视,http://180.173.121.65:9999/rtp/233.18.204.85:5140$上海市电信
东方卫视,http://171.213.155.205:9100/rtp/239.94.0.119:5140$四川电信
东方卫视,http://171.213.155.205:9100/rtp/239.94.0.64:5140$四川电信
东方卫视,http://180.173.121.65:9999/rtp/233.18.204.224:5140$上海市电信
东方卫视,http://180.173.121.65:9999/rtp/233.18.204.51:5140$上海市电信
深圳卫视,http://171.213.155.205:9100/rtp/239.94.0.113:5140$四川电信
深圳卫视,http://171.213.155.205:9100/rtp/239.94.0.66:5140$四川电信
深圳卫视,http://180.173.121.65:9999/rtp/233.18.204.219:5140$上海市电信
深圳卫视,http://180.173.121.65:9999/rtp/233.18.204.89:5140$上海市电信
北京卫视,http://171.213.155.205:9100/rtp/239.94.0.111:5140$四川电信
北京卫视,http://171.213.155.205:9100/rtp/239.94.0.112:5140$四川电信
北京卫视,http://171.213.155.205:9100/rtp/239.94.0.65:5140$四川电信
